ssn,phone,city,maritalstatus,fullname,birthdate
429-25-1871,(08)-5580-6629,Seattle (Washington),Single,Trisha Dixon,1970-03-05
339-93-1202,(09)-6486-7208,Nashville (Tennessee),Married,Jillian Stjohn,1969-03-04
301-54-1338,(07)-3858-3345,Cleveland (Ohio),Divorced,Catalina Person,1973-04-26
429-18-1345,(04)-8685-4208,Philadelphia[8] (Pennsylvania),Married,Diana Wilkins,1975-09-05
391-25-1727,(07)-3339-5713,Cleveland (Ohio),Single,Janna Robb,1970-03-28
279-23-1914,(04)-9365-3278,Fresno (California),Single,Allyson Carmean,1974-11-02
381-55-1643,(05)-3339-6535,Baton Rouge (Louisiana),Married,Rita Bowens,1988-01-26
368-25-1289,(07)-3858-1452,Philadelphia[8] (Pennsylvania),Single,Henrietta Welch,1985-06-02
287-46-1514,(07)-3433-5867,Stockton (California),Single,Vicente Deleon,1980-12-01
144-18-1159,(04)-6191-6502,Tucson (Arizona),Married,Emanuel Coy,1974-01-20
408-93-1313,(08)-5125-5019,Omaha (Nebraska),Married,Clifford Quinney,1976-07-31
279-55-1159,(09)-3468-9130,Bakersfield (California),Divorced,Giovanna Boyd,1979-09-14
301-99-1163,(09)-5002-8223,Louisville (Kentucky),Divorced,Richard Kenny,1980-06-24
301-32-1269,(07)-9999-1247,Louisville (Kentucky),Common-Law,Marcellus Schiro,1973-12-18
177-55-1163,(07)-3460-8942,Riverside (California),Single,Hellen Romine,1985-07-07
238-25-1442,(09)-5502-5202,Sacramento (California),Single,Taren Estrada,1970-03-29
320-25-1692,(09)-5062-4508,Bakersfield (California),Common-Law,Shani Norman,1975-10-20
138-51-1417,(07)-6486-8055,Santa Ana (California),Married,Jake Kagan,1981-01-21
339-30-1227,(07)-4370-5867,Philadelphia[8] (Pennsylvania),Married,Hugo Ngo,1990-05-03
425-51-1950,(07)-5179-2315,Milwaukee (Wisconsin),Divorced,Renee Swatzell,1973-01-02
408-34-1006,(03)-5050-7818,Wichita (Kansas),Common-Law,Edgar Royston,1987-12-10
381-83-1158,(04)-4286-8567,Jersey City (New Jersey),Common-Law,Ernestine Mccall,1969-10-25
320-55-1854,(09)-6473-7818,Henderson (Nevada),Common-Law,Larry Stinson,1972-09-21
216-74-1559,(09)-4858-6781,Baltimore (Maryland),Divorced,Anna Bergman,1981-09-02
368-51-1811,(03)-2905-3554,Jacksonville (Florida),Married,Ellis Mendoza,1970-06-13
368-85-1341,(09)-3949-7887,Virginia Beach (Virginia),Divorced,Tyler Chu,1971-02-13
279-85-1401,(05)-8685-4870,Boise (Idaho),Married,Gayla Bednarz,1969-10-13
391-55-1703,(08)-8435-6502,Chicago (Illinois),Divorced,Nick Weyant,1984-06-29
138-55-1345,(05)-4370-4508,Chandler (Arizona),Common-Law,Tania Tipler,1970-09-06
177-82-1529,(09)-6745-9114,Oklahoma City (Oklahoma),Divorced,Tonia Applegate,1969-03-30
138-55-1291,(03)-4286-4508,Lincoln (Nebraska),Common-Law,Lynette Bandy,1987-05-17
216-55-1061,(03)-6473-8193,Raleigh (North Carolina),Divorced,Numbers Ross,1980-12-23
238-82-1602,(05)-3320-1247,Houston (Texas),Single,Mario Bartels,1985-01-04
138-46-1828,(04)-9719-3345,Riverside (California),Divorced,Victoria Kessinger,1970-08-18
368-34-1253,(07)-3949-5241,Bakersfield (California),Single,Sean Sergent,1975-12-13
216-51-1491,(08)-9854-3563,Kansas City (Missouri),Common-Law,Laronda Blodgett,1976-02-26
408-55-1084,(07)-4858-8055,Orlando (Florida),Divorced,Charlotte Owsley,1988-07-17
429-99-1545,(04)-5592-8568,San Jose (California),Married,Gigi Gonzalez,1979-11-25
408-23-1840,(04)-8435-6362,Hialeah (Florida),Single,Lucia Carlisle,1974-01-22
425-99-1615,(07)-4286-8640,Newark (New Jersey),Common-Law,Blanca Madden,1985-01-09
177-34-1731,(04)-5592-4394,Gilbert (Arizona),Married,Andy Fasano,1973-04-24
323-99-1313,(09)-3858-2735,Madison (Wisconsin),Common-Law,Barbara Craig,1990-09-08
339-93-1676,(08)-3320-7456,Chula Vista (California),Single,Tod Usher,1984-09-12
323-32-1393,(04)-3460-4208,Milwaukee (Wisconsin),Divorced,Dwight Haugland,1989-07-14
216-55-1021,(04)-3433-5119,Fort Wayne (Indiana),Divorced,Ronald Palm,1989-02-02
138-74-1469,(07)-7973-8567,Corpus Christi (Texas),Divorced,Mike Miley,1987-03-17
224-23-1856,(04)-5062-1423,Durham (North Carolina),Common-Law,Rosalie Champine,1989-08-16
301-51-1301,(03)-6473-5867,Phoenix (Arizona),Single,Roland Huntsman,1988-02-01
166-46-1605,(04)-8288-3325,Portland (Oregon),Common-Law,Domenica Chen,1983-09-12
144-25-1202,(09)-1199-5952,Memphis (Tennessee),Single,Mona Hargrove,1990-08-10
138-23-1145,(07)-5179-6535,San Francisco (California),Common-Law,Peggy Luna,1973-12-10
238-25-1227,(07)-4370-1423,Tucson (Arizona),Married,Erica Stark,1990-01-11
138-99-1851,(04)-5330-7402,Buffalo (New York),Married,Karyl Jacob,1974-07-21
216-60-1288,(07)-9292-1791,Cleveland (Ohio),Divorced,Aaron Roe,1970-11-17
144-54-1148,(03)-3460-3197,Bakersfield (California),Single,Earlene Gay,1980-08-18
166-85-1858,(05)-5062-8567,Oklahoma City (Oklahoma),Divorced,Carolyn Burdette,1989-03-16
138-18-1417,(08)-3949-6781,New York (New York),Common-Law,Stacee Throckmorton,1971-03-22
323-18-1943,(05)-6812-7402,Washington (District of Columbia),Single,Ima Lanier,1979-01-27
408-51-1727,(09)-5580-4508,Lubbock (Texas),Common-Law,Monica Ober,1970-08-26
287-54-1492,(07)-2926-4983,Sacramento (California),Married,Belle Aikin,1986-06-25
320-81-1399,(05)-3949-7402,Plano (Texas),Common-Law,Krystal Militello,1975-11-09
429-82-1074,(04)-5502-5036,Garland (Texas),Divorced,Juana Cress,1988-01-22
287-31-1837,(09)-7905-9187,Orlando (Florida),Single,Betty Mark,1976-10-01
116-18-1285,(08)-3320-2735,Honolulu (Hawaii),Common-Law,Trenton Younger,1981-05-27
216-30-1019,(08)-2926-1247,Columbus (Ohio),Single,Roberta Fergus,1988-03-29
339-32-1758,(08)-9365-9114,El Paso (Texas),Common-Law,Shawna Kirby,1988-07-23
144-60-1393,(03)-5854-4176,Fort Wayne (Indiana),Common-Law,Lance Macomber,1986-10-20
287-32-1468,(08)-1199-3325,Aurora (Colorado),Common-Law,Etta Brock,1975-06-05
166-31-1276,(07)-5502-5202,Pittsburgh (Pennsylvania),Divorced,Inell Fehr,1975-09-17
425-55-1620,(05)-7905-9187,Chicago (Illinois),Divorced,Mandi Burch,1981-05-17
301-25-1237,(03)-7703-8567,New Orleans (Louisiana),Married,Idell Ward,1985-02-06
320-55-1501,(08)-2926-7434,Wichita (Kansas),Divorced,Eunice Marasco,1976-03-09
279-55-1061,(07)-3468-5713,Houston (Texas),Married,Clare Chow,1989-04-28
429-30-1866,(05)-8435-1247,Tulsa (Oklahoma),Married,Brant Puga,1984-06-19
339-82-1022,(08)-6473-2611,Kansas City (Missouri),Single,Kimbra Byrum,1987-11-09
279-93-1688,(09)-8685-5713,Seattle (Washington),Common-Law,Lacie Byrne,1990-01-17
238-82-1512,(07)-5050-3345,Tucson (Arizona),Single,Bradley Gulick,1981-07-29
339-44-1376,(03)-3858-9114,San Jose (California),Married,Woodrow Prendergast,1976-12-21
279-34-1159,(03)-3468-6922,Aurora (Colorado),Married,Rigoberto Philbrick,1990-04-24
279-18-1332,(09)-2926-7191,Nashville (Tennessee),Single,Kenna Blue,1976-06-12
144-32-1067,(08)-7973-5202,Greensboro (North Carolina),Single,Leigh Wark,1969-08-07
408-60-1543,(07)-5592-5036,Hialeah (Florida),Common-Law,Brenda Jumper,1969-10-17
368-32-1283,(07)-8435-1433,Madison (Wisconsin),Married,Delfina Sharpless,1978-03-04
408-83-1324,(03)-3858-8193,Baltimore (Maryland),Married,Donnie Thurmond,1976-06-29
116-51-1463,(07)-6975-2465,Philadelphia[8] (Pennsylvania),Divorced,Christie Major,1975-11-08
429-60-1950,(04)-4286-5388,Arlington (Texas),Married,Tim Crumley,1988-02-26
238-74-1603,(09)-5062-6500,North Las Vegas (Nevada),Common-Law,Monika Farrier,1973-05-23
320-55-1327,(08)-9292-1633,Honolulu (Hawaii),Divorced,Jean Couture,1988-05-03
166-31-1057,(08)-3468-9187,Detroit (Michigan),Single,Bryan Montano,1978-08-18
138-30-1891,(09)-5592-3325,North Las Vegas (Nevada),Married,Brittaney Terrill,1989-11-19
381-82-1954,(05)-6975-8942,Louisville (Kentucky),Married,Sondra Cudney,1985-01-30
138-23-1635,(09)-1199-5075,Fort Wayne (Indiana),Divorced,Brittaney Spade,1985-09-26
138-60-1739,(08)-1199-2714,Chula Vista (California),Common-Law,Laurence Hopp,1990-08-16
177-30-1216,(08)-3339-7414,Baton Rouge (Louisiana),Divorced,Nellie Neil,1980-10-07
368-34-1054,(03)-7973-9470,Philadelphia[8] (Pennsylvania),Divorced,Young Sherlock,1979-03-14
323-34-1329,(08)-9235-9910,Wichita (Kansas),Common-Law,Fidela Towell,1971-05-03
408-85-1022,(04)-5125-5326,Anaheim (California),Single,Shari Houck,1977-06-09
425-81-1757,(09)-5125-6781,Pittsburgh (Pennsylvania),Married,Livia Callaghan,1987-05-11
368-32-1289,(04)-8685-9523,New Orleans (Louisiana),Married,Stella Vest,1987-05-11
238-34-1529,(05)-5580-3554,Arlington (Texas),Common-Law,Jena Holmes,1971-08-16
320-31-1227,(05)-5794-3563,Fort Wayne (Indiana),Divorced,Holly Hoskin,1989-04-01
391-31-1992,(04)-5146-6922,Corpus Christi (Texas),Single,Clarence Percy,1986-02-06
238-51-1545,(03)-5002-9187,Buffalo (New York),Divorced,Edna Gavin,1975-05-16
216-34-1811,(04)-5902-9910,Greensboro (North Carolina),Married,Consuelo Brubaker,1983-03-07
238-30-1237,(08)-8685-8055,St. Louis (Missouri),Married,Maura Swigart,1981-02-02
429-25-1732,(08)-3949-9661,San Bernardino (California),Married,Esteban Fitzhugh,1969-08-13
339-46-1732,(09)-5580-4339,Los Angeles (California),Married,Augustine Wetherby,1971-02-19
224-82-1479,(09)-4286-8567,Miami (Florida),Common-Law,Fidela Meisel,1980-11-27
408-46-1688,(07)-3320-3563,Gilbert (Arizona),Divorced,Teresita Dowling,1969-03-10
408-31-1549,(08)-3320-4339,Norfolk (Virginia),Divorced,Merrill Litherland,1979-07-21
224-81-1872,(03)-6486-5202,Anchorage (Alaska),Single,Carolyn Chubb,1984-10-14
279-25-1664,(09)-5794-2611,Plano (Texas),Single,Leola Newson,1989-05-23
391-31-1338,(08)-2905-5952,Arlington (Texas),Common-Law,Jim Freeze,1971-07-23
224-82-1025,(07)-5146-4444,North Las Vegas (Nevada),Married,Stacey Bickford,1984-04-21
368-83-1140,(08)-5179-4206,New Orleans (Louisiana),Married,Estela Morse,1985-10-03
339-46-1828,(04)-6812-2611,Reno (Nevada),Married,Winnie Rio,1985-04-23
425-54-1061,(08)-2298-6922,Durham (North Carolina),Single,Norbert Flor,1981-03-12
425-23-1061,(03)-9365-3325,Minneapolis (Minnesota),Married,Bridget Trice,1974-06-30
279-85-1655,(03)-6191-3278,North Las Vegas (Nevada),Divorced,Lovie Kenny,1982-11-07
279-23-1968,(07)-2926-4176,Jacksonville (Florida),Married,Sylvester Mallon,1985-04-06
381-30-1882,(04)-3949-4444,Albuquerque (New Mexico),Married,Arleen Caulkins,1985-11-27
279-60-1259,(09)-6975-6502,Richmond (Virginia),Divorced,Jonathan Atchley,1981-09-18
429-32-1315,(04)-5062-6502,Newark (New Jersey),Common-Law,Suzie Mccutcheon,1987-09-28
320-18-1433,(08)-5002-4870,Gilbert (Arizona),Married,Sharlene Greenman,1976-05-26
408-60-1703,(05)-2905-2714,Richmond (Virginia),Married,Aimee Watts,1974-01-15
216-55-1583,(04)-5580-5019,Durham (North Carolina),Married,Kendall Cudney,1976-07-16
323-54-1521,(04)-9854-5867,Riverside (California),Divorced,Cleopatra Files,1986-07-06
279-31-1727,(08)-3468-5965,Chicago (Illinois),Divorced,Bernita Martindale,1971-04-14
138-83-1312,(09)-5050-8640,Fremont (California),Common-Law,Julie Perez,1980-08-26
425-81-1276,(05)-5179-7659,Miami (Florida),Single,Gabrielle Gorsuch,1983-11-11
391-99-1757,(07)-9292-3038,Oakland (California),Married,Ismael Behler,1990-02-20
368-82-1022,(08)-9235-1452,Corpus Christi (Texas),Single,Nicolas Thorton,1988-05-21
301-60-1529,(08)-9365-2465,Newark (New Jersey),Single,Richard Barron,1980-03-16
144-93-1828,(03)-9333-7434,Irvine (California),Married,Nicky Auxier,1971-04-03
320-30-1856,(04)-7973-6502,Los Angeles (California),Divorced,Carlotta Wilkinson,1989-07-16
408-82-1757,(08)-6486-5241,Washington (District of Columbia),Married,Sunny Kropp,1983-03-12
301-34-1772,(07)-5125-5119,Winston–Salem (North Carolina),Married,Lynette Signorelli,1974-09-12
320-85-1332,(08)-4370-1079,Corpus Christi (Texas),Married,Elizabeth Crandell,1975-10-13
166-74-1053,(09)-3858-3278,Fresno (California),Common-Law,Ryan Miera,1977-07-01
177-30-1771,(08)-8685-2714,Memphis (Tennessee),Married,Kiley Rogalski,1984-01-13
238-31-1747,(05)-4858-3038,Toledo (Ohio),Common-Law,Erik Cherry,1986-11-18
320-23-1359,(08)-9333-7818,Chula Vista (California),Married,Lewis Pruett,1971-10-09
429-55-1543,(09)-3460-3563,Albuquerque (New Mexico),Married,Milissa Alejos,1987-08-04
429-34-1433,(04)-4370-5867,Chula Vista (California),Married,Lucy Chin,1990-01-19
116-55-1703,(04)-5502-8405,Greensboro (North Carolina),Married,Brenda Proctor,1970-06-21
216-31-1828,(08)-3339-8567,Bakersfield (California),Common-Law,Vincent Danley,1975-04-25
339-60-1676,(07)-3949-5686,Norfolk (Virginia),Single,Chrissy Prescott,1989-07-23
138-44-1374,(04)-3339-2611,San Antonio (Texas),Divorced,Oscar Bergmann,1975-11-23
301-51-1262,(09)-4286-5801,Kansas City (Missouri),Divorced,Kathrine Strawn,1982-07-03
368-82-1605,(03)-5179-3563,Norfolk (Virginia),Married,Jennifer Marroquin,1971-12-12
279-81-1448,(07)-3460-9187,Milwaukee (Wisconsin),Common-Law,Carlotta Golden,1983-08-28
224-93-1757,(09)-9333-7352,New Orleans (Louisiana),Common-Law,Kasey Lemen,1984-11-16
144-74-1732,(07)-3468-6480,Albuquerque (New Mexico),Common-Law,Otha Denis,1978-08-08
320-30-1011,(04)-6975-4206,Anaheim (California),Married,Dale Benjamin,1979-02-18
429-18-1605,(07)-2298-7414,Reno (Nevada),Married,Eun Mccaffery,1974-11-28
339-93-1269,(08)-2905-4870,Corpus Christi (Texas),Divorced,Megan Garner,1985-04-04
224-82-1507,(09)-3339-8548,Mesa (Arizona),Divorced,Collette Delacruz,1988-04-19
301-81-1163,(09)-2926-3038,Phoenix (Arizona),Married,Aretha Thurman,1989-10-08
339-44-1940,(09)-1199-6362,Anaheim (California),Common-Law,Debra Berg,1972-11-28
320-23-1882,(07)-5902-5326,Irvine (California),Single,Fidel Hooper,1977-09-12
391-23-1605,(09)-9854-2725,Bakersfield (California),Married,Karla Krok,1978-08-19
320-93-1954,(07)-5146-3997,Cleveland (Ohio),Common-Law,Luke Jonson,1987-06-21
368-85-1399,(09)-9719-8507,Philadelphia[8] (Pennsylvania),Common-Law,Omar Kinard,1979-03-22
116-44-1163,(04)-5146-8507,Albuquerque (New Mexico),Divorced,Carlotta Kobayashi,1986-12-23
138-54-1383,(03)-5125-1452,Nashville (Tennessee),Married,Elwood Seifert,1982-03-13
301-23-1053,(03)-2298-4289,Washington (District of Columbia),Divorced,Alex Nava,1988-06-23
166-46-1530,(07)-3858-7402,Gilbert (Arizona),Common-Law,Retta Wolfe,1989-09-24
391-25-1240,(07)-5794-5075,Fort Worth (Texas),Common-Law,Deirdre Coughlin,1976-04-25
301-31-1156,(08)-9365-4208,Seattle (Washington),Divorced,Tom Scurlock,1982-04-23
144-54-1647,(09)-4286-4176,Norfolk (Virginia),Single,Pennie Giesen,1988-09-05
216-23-1543,(03)-9235-4206,Garland (Texas),Married,Goldie Henley,1986-09-18
287-46-1489,(05)-6473-1079,Louisville (Kentucky),Divorced,Dwayne Kehl,1970-04-01
425-31-1758,(04)-5854-7352,Norfolk (Virginia),Married,Lillian Parisi,1969-12-28
408-82-1688,(08)-5580-5965,Hialeah (Florida),Divorced,Kay Boettcher,1984-11-05
425-99-1882,(09)-8685-8193,Arlington (Texas),Common-Law,Jeremy Acord,1978-06-29
368-93-1768,(04)-5580-5560,Phoenix (Arizona),Married,Vina Asher,1979-06-10
429-18-1922,(05)-5062-4983,San Francisco (California),Divorced,Amber Wolfson,1989-08-01
177-44-1158,(09)-5002-1452,Mesa (Arizona),Single,Araceli Ketcham,1987-03-13
425-93-1050,(07)-9854-9187,Denver (Colorado),Common-Law,Carmen Bowes,1982-04-07
138-54-1048,(05)-9235-3345,Jersey City (New Jersey),Divorced,Staci Yokoyama,1975-09-21
429-18-1521,(09)-7703-8548,Anaheim (California),Married,Rosemarie Burleson,1969-11-17
429-55-1866,(07)-6486-5965,Sacramento (California),Married,Effie Paddock,1975-08-28
323-32-1954,(04)-3949-9187,Richmond (Virginia),Divorced,Alyson Hopkins,1989-06-28
279-54-1038,(07)-5002-5686,Hialeah (Florida),Common-Law,Jewell Dressler,1986-09-15
425-85-1664,(07)-3858-1423,Oakland (California),Married,Gwendolyn Patrick,1990-03-03
238-55-1020,(04)-7504-1179,Detroit (Michigan),Single,Rosalyn Rosas,1979-06-19
339-81-1479,(05)-5062-7191,Orlando (Florida),Common-Law,Candy Culbertson,1990-08-20
391-60-1148,(09)-8435-7456,Los Angeles (California),Single,David Clausing,1971-10-16
116-34-1289,(04)-3433-1633,Plano (Texas),Single,Alyson Howard,1982-12-18
320-81-1424,(08)-5592-5867,Anchorage (Alaska),Common-Law,Kristen Bressler,1990-03-29
216-60-1315,(03)-3460-5019,Chandler (Arizona),Married,Demetrius Korando,1971-07-28
216-82-1643,(08)-1350-8640,Durham (North Carolina),Divorced,Roy Albers,1987-12-26
287-25-1511,(04)-4858-5952,El Paso (Texas),Married,Eleni Lacey,1980-03-15
391-25-1957,(07)-4858-3563,Plano (Texas),Married,Marcella Truman,1983-10-11
368-93-1718,(04)-5125-4289,Toledo (Ohio),Divorced,Danny Barcus,1979-03-31
391-83-1483,(09)-5592-4289,Milwaukee (Wisconsin),Common-Law,Sophia Crutchfield,1972-11-05
301-55-1620,(04)-7508-2115,Anchorage (Alaska),Married,Richard Dunneback,1973-10-13
279-93-1543,(03)-6486-3038,Seattle (Washington),Married,Idell Heideman,1977-06-12
138-60-1288,(09)-9999-9114,Stockton (California),Divorced,Ethel Mccann,1972-02-15
408-74-1156,(09)-6486-3038,Irving (Texas),Married,Kayla Sheffer,1971-05-31
301-32-1417,(04)-3320-3197,Cleveland (Ohio),Single,Maxie Goins,1983-10-07
224-46-1530,(07)-5050-7456,Dallas (Texas),Divorced,Kacey Gottschalk,1973-07-05
301-83-1872,(09)-9854-3262,Irving (Texas),Single,Dawn Richmond,1978-10-20
166-54-1345,(04)-7905-4289,El Paso (Texas),Common-Law,Maryann Cady,1988-03-09
287-44-1269,(03)-5125-5326,El Paso (Texas),Single,Johnny Whetsel,1981-05-01
116-93-1992,(04)-8685-1079,Fort Wayne (Indiana),Married,Dorotha Turnbow,1984-05-14
368-85-1084,(08)-7504-4206,North Las Vegas (Nevada),Common-Law,Mandie Wilkinson,1978-07-05
